# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,0.19469231280624663,0.0,0.5671976384216889,1.7630538850314106,0.0,0.0
 0.06925615232367463,0.011991036586700053,0.1731403808091865,2.499999999999999,0.19469231280624663,0.0,0.5671976384216889,1.7630538850314106,0.0,0.0
 0.0979068960594187,0.023964400739974537,0.41790762095773326,8.543137393085551,0.5840909792827399,0.0,0.5678317628478325,1.7610849998681386,13.591223671819995,474.3759462992183
 0.11986726404489684,0.035920402474022534,0.5444354002607885,5.7616420356309614,0.9733550717954238,0.0,0.5684344306436854,1.7592178553780025,17.725754539727884,188.2723855375262
 0.13836090314655408,0.04785934879882529,0.6455704179786274,5.46863800909665,1.3624718325063627,0.0,0.5690058911668885,1.7574510484403785,21.040572846264173,179.24099677273603
 0.15463705081480128,0.05978154371174858,0.7324948849033891,5.3406044659044785,1.7514287009467122,0.0,0.5695464065953115,1.755783178368019,23.897354359788554,175.5195130784921
 0.16933669205445373,0.07168728818986222,0.809934357173137,5.268119881786913,2.1402133178688554,0.0,0.5700562516768805,1.7542128466417037,26.448578613836656,173.5569060805472
 0.18284078339689028,0.08357688018297135,0.8804436886283594,5.22133105199364,2.5288135289759204,0.0,0.5705357134997149,1.752738656561768,28.77647975364995,172.38487809230637
 0.19539766079189874,0.09545061460736479,0.9455961104719721,5.188584692999527,2.9172173885134915,0.0,0.5709850910651062,1.751359213485971,30.93156421929926,171.62582685612497
 0.20717990572473763,0.1073087833402779,1.0064439162915897,5.164364360651305,3.3054131626930587,0.0,0.5714046950097379,1.7500731245880958,32.947522003859135,171.10133052327708
 0.21831323845802003,0.11915167521507075,1.0637328604568936,5.14571382511925,3.693389332999053,0.0,0.5717948473197146,1.748878998625984,34.848160887724454,170.71607661410118
 0.22889261763291843,0.13097957601712346,1.1180146402273452,5.130904079820247,4.081134599324698,0.0,0.5721558809633371,1.7477754459436876,36.6510416079655,170.41460471695012
 0.23899185633024836,0.14279276848044514,1.169711184907918,5.118855611783941,4.468637882968804,0.0,0.5724881395149112,1.7467610784868561,38.36955390969773,170.1625591032494
 0.24866968635923242,0.1545915322849975,1.2191538567237001,5.108859286400629,4.855888329492034,0.0,0.572791976858547,1.7458345095621923,40.01418141912555,169.93763111176145
 0.25797375374617304,0.16637614405472778,1.2666086002635155,5.10042990514276,5.2428753113997875,0.0,0.5730677568998334,1.7449943535643557,41.593312452888824,169.7248061616339
 0.266943347814712,0.17814687735631576,1.3122927539022144,5.093224207206542,5.6295884307160895,0.0,0.5733158530184442,1.7442392264841644,43.113781555924064,169.5137027848694
 0.2756113224805001,0.1899040026986255,1.356386675738032,5.086992467785295,6.016017521350501,0.0,0.5735366479277225,1.7435677451705243,44.58124366233133,169.29699993231898
 0.2840054841251228,0.20164778753286344,1.3990420165140618,5.081548650347321,6.4021526513900096,0.0,0.5737305331573724,1.7429785277363008,46.00044011385775,169.06946894876165
 0.29214961663739225,0.21337849625343813,1.440387751906282,5.076751308986085,6.787984125162005,0.0,0.5738979087668719,1.7424701932590922,47.375392430160495,168.82735076219873
 0.3000642532522121,0.2250963901995192,1.4805346747240136,5.072490977356824,7.173502485213735,0.0,0.5740391829788942,1.7420413617248967,48.70954647871797,168.56794739752368
 0.30776726769251467,0.23680172765729,1.5195788023618204,5.068681610348008,7.558698514105296,0.0,0.5741547717313485,1.741690654219465,50.00588170732164,168.28934161426184
 0.31527433378750797,0.24849476386289251,1.5576040037000587,5.065254635708949,7.943563236075966,0.0,0.5742450984495855,1.7414166924540022,51.26699526827773,167.99020349603285
 0.32259928766570845,0.2601757510060563,1.5946840536330351,5.062154731557965,8.328087918553411,0.0,0.5743105935121757,1.7412180992249089,52.495167733658484,167.66965168693662
 0.32975441664026983,0.27184493823441164,1.6308842607649414,5.059336772350131,8.712264073509832,0.0,0.5743516940287089,1.741093497932671,53.69241509444224,167.32715301713353
 0.3367506921498317,0.2835025716584768,1.6662627719752536,5.056763582560464,9.096083458708554,0.0,0.5743688433560258,1.7410415129013959,54.86053038851186,166.96244915929097
 0.3435979594568735,0.2951488943573181,1.7008716290167547,5.0544042593326415,9.47953807875855,0.0,0.5743624907766778,1.7410607692151987,56.00111735898619,166.5754992946374
 0.35030509353126676,0.3067841463848738,1.7347576324703469,5.052232902718213,9.862620186074357,0.0,0.574333091143635,1.7411498926672677,57.11561794751535,166.16643952058925
 0.35688012820942444,0.31840856477693796,1.7679630543517293,5.050227642401816,10.245322281654909,0.0,0.5742811045061362,1.7413075097777573,58.20533492422361,165.73554818323862
 0.36333036402634916,0.33002238355879837,1.8005262305894312,5.048369883200182,10.627637115766486,0.0,0.5742069957167059,1.7415322478818525,59.271450682225144,165.28322192564903
 0.36966245887486127,0.34162583375352107,1.8324820572530178,5.046643713982827,11.009557688456539,0.0,0.574111234050357,1.7418227351954012,60.31504294029856,164.80995358410283
 0.37588250472235163,0.35321914339087157,1.8638624089930333,5.045035440161061,11.39107724993001,0.0,0.5739942929914783,1.7421776003874767,61.337097961650414,164.31631637638534
 0.3819960929207923,0.3648025375168763,1.8946964941078652,5.043533210610502,11.772189300850153,0.0,0.5738566495847992,1.7425954734924254,62.338521756723836,163.80295214009473
 0.3880083701179662,0.37637623820400146,1.9250111575968971,5.0421267175241775,12.152887592408637,0.0,0.5736987844668264,1.743074984775088,63.320149599461836,163.27055632089233
